Date & Time,"Average  Wind Speed
(m/s)"," Average  Wind Dirction
(deg) "," Average Active Power
(MW) "," Forecasted Power 
(kW) "
8/2/2021 21:00,14.79,194.24,102.91,102.96
8/2/2021 21:10,14.99,194.7,103.03,103.02
8/2/2021 21:20,14.98,195.64,103.03,103.07
8/2/2021 21:30,15.05,195.93,103.06,103.13
8/2/2021 21:40,15.13,196.29,103.1,103.13
8/2/2021 21:50,14.9,197.7,102.99,103.14
8/2/2021 22:00,14.8,198.61,102.92,103.15
8/2/2021 22:10,14.87,199.81,102.97,103.17
8/2/2021 22:20,14.97,199.64,103,103.18
8/2/2021 22:30,14.96,199.23,103.04,103.06
8/2/2021 22:40,14.96,198.65,103.06,103.08
8/2/2021 22:50,14.9,198.83,103.02,103.1
8/2/2021 23:00,14.89,200.07,103,103.15
8/2/2021 23:10,14.79,201.04,102.93,103.17
8/2/2021 23:20,14.66,202.13,102.91,103.05
8/2/2021 23:30,14.62,202.18,102.81,103.07
8/2/2021 23:40,14.34,202.24,102.69,103.03
8/2/2021 23:50,14.07,203.21,102.55,103.05
3/8/2021,14.04,203.7,102.54,103.07
8/3/2021 0:10,14.19,203.87,102.61,103
8/3/2021 0:20,14.28,203.92,102.69,102.74
8/3/2021 0:30,14.68,203.64,102.91,102.77
8/3/2021 0:40,14.85,203.14,102.96,102.87
8/3/2021 0:50,14.73,203.2,102.93,102.89
8/3/2021 1:00,14.6,203.12,102.88,102.91
8/3/2021 1:10,14.4,203.77,102.78,103.07
8/3/2021 1:20,14.01,204.16,102.59,103
8/3/2021 1:30,13.85,204.41,102.43,103.02
8/3/2021 1:40,14.04,204.66,102.52,103.02
8/3/2021 1:50,13.88,204.8,102.45,102.87
8/3/2021 2:00,13.98,204.93,102.54,102.87
8/3/2021 2:10,14.07,204.44,102.59,102.69
8/3/2021 2:20,13.77,203.31,102.39,102.71
8/3/2021 2:30,13.44,202.75,102.18,102.75
8/3/2021 2:40,13.26,203.06,102.06,102.76
8/3/2021 2:50,13.22,202.26,102.02,102.63
8/3/2021 3:00,13.47,201.02,102.12,102.65
8/3/2021 3:10,13.78,199.32,102.34,102.43
8/3/2021 3:20,13.62,199.12,102.32,102.47
8/3/2021 3:30,13.24,198.99,102.05,102.45
8/3/2021 3:40,13.01,199.17,101.85,102.48
8/3/2021 3:50,12.47,200.48,101.6,102.53
