Time Stamp,Actual Total WTG Output Power /kW,Forecasted Power,,,,,,,,,,,,,,,,,
,,T+10,T+20,T+30,T+40,T+50,T+60,T+70,T+80,T+90,T+100,T+110,T+120,T+130,T+140,T+150,T+160,T+170,T+180
9/1/21 12:50,"86,587.8","74,163.1","73,701.4","73,247.2","72,814.6","72,343.0","72,642.5","73,046.6","73,513.5","74,093.8","74,757.1","75,538.1","76,338.8","77,235.5","78,225.3","79,295.9","80,454.8","81,678.0","83,106.1"
9/1/21 13:00,"87,378.1","78,822.4","78,129.8","77,494.1","76,909.8","76,981.1","77,180.2","77,417.1","77,723.8","78,179.4","78,680.7","79,204.3","79,814.2","80,549.6","81,392.3","82,312.8","83,322.9","84,507.0","85,783.5"
9/1/21 13:10,"85,829.9","78,129.8","77,494.1","76,909.8","76,981.1","77,180.2","77,417.1","77,723.8","78,179.4","78,680.7","79,204.3","79,814.2","80,549.6","81,392.3","82,312.8","83,322.9","84,507.0","85,783.5","87,126.6"
9/1/21 13:20,"81,804.4","77,494.1","76,909.8","76,981.1","77,180.2","77,417.1","77,723.8","78,179.4","78,680.7","79,204.3","79,814.2","80,549.6","81,392.3","82,312.8","83,322.9","84,507.0","85,783.5","87,126.6","88,591.2"
9/1/21 13:30,"79,053.2","80,462.2","80,275.4","80,229.1","80,329.6","80,490.3","80,741.9","81,099.7","81,444.1","81,894.0","82,409.7","83,042.8","83,785.4","84,616.0","85,619.1","86,721.3","87,916.6","89,194.3","90,566.2"
9/1/21 13:40,"75,817.5","80,275.4","80,229.1","80,329.6","80,490.3","80,741.9","81,099.7","81,444.1","81,894.0","82,409.7","83,042.8","83,785.4","84,616.0","85,619.1","86,721.3","87,916.6","89,194.3","90,566.2","92,020.8"
9/1/21 13:50,"74,060.7","78,290.3","78,331.3","78,516.2","78,793.5","79,179.9","79,571.8","80,042.0","80,620.2","81,272.0","82,021.3","82,875.0","83,899.7","85,004.2","86,214.3","87,526.3","88,907.7","90,385.8","90,729.7"
9/1/21 14:00,"74,180.5","76,477.3","76,653.6","76,959.0","77,356.5","77,799.8","78,313.8","78,915.1","79,606.0","80,392.4","81,281.0","82,357.8","83,519.8","84,737.5","86,074.1","87,517.4","89,015.0","89,479.6","89,887.4"
9/1/21 14:10,"72,365.1","76,653.6","76,959.0","77,356.5","77,799.8","78,313.8","78,915.1","79,606.0","80,392.4","81,281.0","82,357.8","83,519.8","84,737.5","86,074.1","87,517.4","89,015.0","89,479.6","89,887.4","90,385.9"
9/1/21 14:20,"74,699.1","73,693.4","74,057.0","74,490.7","75,010.6","75,614.4","76,290.8","77,070.0","77,954.5","78,951.0","80,097.1","81,365.4","82,780.6","84,238.4","85,708.2","86,317.6","86,945.3","87,522.1","88,117.1"
9/1/21 14:30,"78,151.7","74,057.0","74,490.7","75,010.6","75,614.4","76,290.8","77,070.0","77,954.5","78,951.0","80,097.1","81,365.4","82,780.6","84,238.4","85,708.2","86,317.6","86,945.3","87,522.1","88,117.1","88,642.5"
9/1/21 14:40,"79,566.7","74,490.7","75,010.6","75,614.4","76,290.8","77,070.0","77,954.5","78,951.0","80,097.1","81,365.4","82,780.6","84,238.4","85,708.2","86,317.6","86,945.3","87,522.1","88,117.1","88,642.5","89,284.3"
9/1/21 14:50,"75,524.1","77,299.7","77,693.4","78,181.7","78,756.1","79,408.4","80,192.9","81,091.8","82,085.7","83,165.3","84,391.6","85,750.3","86,348.5","86,879.3","87,374.4","87,911.7","88,447.6","88,958.6","88,440.4"
9/1/21 15:00,"73,857.4","79,420.8","79,789.2","80,256.2","80,805.4","81,483.0","82,237.2","83,105.8","84,090.8","85,129.1","86,325.3","86,829.7","87,374.6","87,865.0","88,292.8","88,766.6","89,255.7","88,730.1","88,143.2"
9/1/21 15:10,"70,796.4","79,789.2","80,256.2","80,805.4","81,483.0","82,237.2","83,105.8","84,090.8","85,129.1","86,325.3","86,829.7","87,374.6","87,865.0","88,292.8","88,766.6","89,255.7","88,730.1","88,143.2","87,444.6"
9/1/21 15:20,"71,659.5","75,560.9","76,227.8","76,983.1","77,793.8","78,694.4","79,647.6","80,743.0","81,974.4","82,519.3","83,168.3","83,845.4","84,581.2","85,239.6","85,803.0","85,570.2","85,279.3","84,865.0","84,397.4"
9/1/21 15:30,"77,736.0","76,227.8","76,983.1","77,793.8","78,694.4","79,647.6","80,743.0","81,974.4","82,519.3","83,168.3","83,845.4","84,581.2","85,239.6","85,803.0","85,570.2","85,279.3","84,865.0","84,397.4","83,804.3"
9/1/21 15:40,"77,862.5","74,430.2","74,991.9","75,516.4","76,009.1","76,518.5","77,013.4","77,459.2","77,936.0","78,352.3","78,846.3","79,360.0","79,911.5","80,746.4","81,539.3","82,413.3","83,334.3","84,237.1","85,185.3"
9/1/21 15:50,"82,029.6","74,991.9","75,516.4","76,009.1","76,518.5","77,013.4","77,459.2","77,936.0","78,352.3","78,846.3","79,360.0","79,911.5","80,746.4","81,539.3","82,413.3","83,334.3","84,237.1","85,185.3","86,254.6"
9/1/21 16:00,"87,042.9","79,877.7","80,229.7","80,569.5","80,926.2","81,169.7","81,446.5","81,742.9","82,002.4","82,310.1","82,630.4","83,305.6","83,977.3","84,632.2","85,353.2","86,118.0","86,880.0","87,842.7","88,793.0"
9/1/21 16:10,"84,037.0","80,229.7","80,569.5","80,926.2","81,169.7","81,446.5","81,742.9","82,002.4","82,310.1","82,630.4","83,305.6","83,977.3","84,632.2","85,353.2","86,118.0","86,880.0","87,842.7","88,793.0","89,872.4"
9/1/21 16:20,"85,577.1","80,434.5","80,778.2","81,037.5","81,276.0","81,547.9","81,841.8","82,095.3","82,398.1","83,021.9","83,714.4","84,402.0","85,066.8","85,800.1","86,579.4","87,504.9","88,487.7","89,449.7","90,546.6"
9/1/21 16:30,"87,164.5","80,778.2","81,037.5","81,276.0","81,547.9","81,841.8","82,095.3","82,398.1","83,021.9","83,714.4","84,402.0","85,066.8","85,800.1","86,579.4","87,504.9","88,487.7","89,449.7","90,546.6","91,727.9"
9/1/21 16:40,"86,641.2","86,033.8","86,110.6","86,180.0","86,242.8","86,306.6","86,366.4","86,671.4","87,019.1","87,387.0","87,811.1","88,279.9","88,804.6","89,473.0","90,154.5","90,903.6","91,708.4","92,531.4","93,408.2"
9/1/21 16:50,"84,684.1","86,110.6","86,180.0","86,242.8","86,306.6","86,366.4","86,671.4","87,019.1","87,387.0","87,811.1","88,279.9","88,804.6","89,473.0","90,154.5","90,903.6","91,708.4","92,531.4","93,408.2","94,139.7"
9/1/21 17:00,"89,102.8","87,001.8","87,040.2","87,075.6","87,108.4","87,347.5","87,615.1","87,923.6","88,274.6","88,646.1","89,074.0","89,660.8","90,318.2","91,003.1","91,699.8","92,465.5","93,286.1","93,992.5","94,741.3"
9/1/21 17:10,"88,653.4","87,040.2","87,075.6","87,108.4","87,347.5","87,615.1","87,923.6","88,274.6","88,646.1","89,074.0","89,660.8","90,318.2","91,003.1","91,699.8","92,465.5","93,286.1","93,992.5","94,741.3","95,478.8"
9/1/21 17:20,"86,965.2","88,844.3","88,808.0","88,949.6","89,129.0","89,342.1","89,585.7","89,866.9","90,189.0","90,634.4","91,145.4","91,714.9","92,354.7","93,024.4","93,707.1","94,336.7","95,010.6","95,693.2","96,419.0"
